trt	SL1_doubled	A4_doubled	A5_doubled	SL1_all	A4_all	A5_all
raw	223	368	224	8510	23268	21923
no_het	167	282	181	8189	22546	21490
mega200	134	289	169	7775	21597	20545
no_low	86	81	72	7088	18932	18944
no_three	31	14	20	6535	17799	17264
